,mean,std,max
amplitude_2,0.8400000000000001,0.03741657386773941,0.9
amplitude_4,0.9,0.0,0.9
amplitude_6,0.9,0.0,0.9
amplitude_8,0.9,0.0,0.9
amplitude_10,0.9,0.0,0.9
angle_X_2_False,0.575,0.07826237921249261,0.7
angle_X_2_True,0.655,0.06499999999999999,0.75
angle_X_4_False,0.82,0.05099019513592785,0.9
angle_X_4_True,0.785,0.06344288770224761,0.9
angle_X_6_False,0.8150000000000001,0.045,0.85
angle_X_6_True,0.735,0.08674675786448735,0.85
angle_X_8_False,0.7849999999999999,0.06726812023536857,0.9
angle_X_8_True,0.6900000000000001,0.05385164807134505,0.8
angle_X_10_False,0.8550000000000001,0.04716990566028301,0.9
angle_X_10_True,0.66,0.04898979485566356,0.75
angle_XY_2_False,0.615,0.03905124837953326,0.7
angle_XY_2_True,0.66,0.0916515138991168,0.75
angle_XY_4_False,0.825,0.05590169943749475,0.9
angle_XY_4_True,0.6399999999999999,0.1319090595827292,0.85
angle_XY_6_False,0.85,0.031622776601683784,0.9
angle_XY_6_True,0.6599999999999999,0.08306623862918075,0.8
angle_XY_8_False,0.825,0.03354101966249683,0.9
angle_XY_8_True,0.65,0.1161895003862225,0.85
angle_XY_10_False,0.835,0.03201562118716422,0.9
angle_XY_10_True,0.675,0.06422616289332564,0.8
angle_XYZ_2_False,0.9,0.0,0.9
angle_XYZ_2_True,0.72,0.07483314773547885,0.8
angle_XYZ_4_False,0.9,0.0,0.9
angle_XYZ_4_True,0.6100000000000001,0.09165151389911678,0.75
angle_XYZ_6_False,0.9,0.0,0.9
angle_XYZ_6_True,0.58,0.07810249675906653,0.7
angle_XYZ_8_False,0.9,0.0,0.9
angle_XYZ_8_True,0.625,0.11672617529928753,0.8
angle_XYZ_10_False,0.9,0.0,0.9
angle_XYZ_10_True,0.585,0.06344288770224758,0.7
angle_XZ_2_False,0.8099999999999999,0.06633249580710801,0.9
angle_XZ_2_True,0.6749999999999999,0.10062305898749054,0.8
angle_XZ_4_False,0.8950000000000001,0.015000000000000015,0.9
angle_XZ_4_True,0.64,0.11357816691600547,0.8
angle_XZ_6_False,0.885,0.02291287847477922,0.9
angle_XZ_6_True,0.6500000000000001,0.0806225774829855,0.8
angle_XZ_8_False,0.8950000000000001,0.015000000000000015,0.9
angle_XZ_8_True,0.625,0.07826237921249264,0.75
angle_XZ_10_False,0.875,0.025000000000000026,0.9
angle_XZ_10_True,0.5700000000000001,0.08999999999999998,0.7
angle_XZY_2_False,0.525,0.05590169943749474,0.65
angle_XZY_2_True,0.7499999999999999,0.0894427190999916,0.85
angle_XZY_4_False,0.805,0.06500000000000002,0.9
angle_XZY_4_True,0.63,0.0678232998312527,0.8
angle_XZY_6_False,0.8150000000000001,0.050249378105604446,0.9
angle_XZY_6_True,0.6399999999999999,0.07681145747868608,0.75
angle_XZY_8_False,0.875,0.051234753829797995,0.9
angle_XZY_8_True,0.66,0.09695359714832659,0.8
angle_XZY_10_False,0.8800000000000001,0.024494897427831803,0.9
angle_XZY_10_True,0.5850000000000001,0.10500000000000001,0.8
angle_Y_2_False,0.62,0.08124038404635958,0.75
angle_Y_2_True,0.74,0.08,0.85
angle_Y_4_False,0.7899999999999999,0.066332495807108,0.9
angle_Y_4_True,0.73,0.08426149773176358,0.85
angle_Y_6_False,0.8299999999999998,0.033166247903553984,0.85
angle_Y_6_True,0.71,0.06244997998398399,0.8
angle_Y_8_False,0.8400000000000001,0.04358898943540673,0.9
angle_Y_8_True,0.725,0.07500000000000001,0.85
angle_Y_10_False,0.8400000000000001,0.05385164807134505,0.9
angle_Y_10_True,0.745,0.09861541461658009,0.9
angle_YX_2_False,0.6500000000000001,0.0547722557505166,0.75
angle_YX_2_True,0.555,0.09861541461658009,0.75
angle_YX_4_False,0.825,0.04609772228646443,0.9
angle_YX_4_True,0.6,0.11401754250991379,0.8
angle_YX_6_False,0.865,0.03905124837953327,0.9
angle_YX_6_True,0.6599999999999999,0.09165151389911681,0.8
angle_YX_8_False,0.8400000000000001,0.04358898943540673,0.9
angle_YX_8_True,0.605,0.1404457190518814,0.8
angle_YX_10_False,0.85,0.022360679774997894,0.9
angle_YX_10_True,0.55,0.07416198487095663,0.65
angle_YXZ_2_False,0.9,0.0,0.9
angle_YXZ_2_True,0.68,0.055677643628300195,0.75
angle_YXZ_4_False,0.8950000000000001,0.015000000000000015,0.9
angle_YXZ_4_True,0.615,0.08381527307120101,0.7
angle_YXZ_6_False,0.8950000000000001,0.015000000000000015,0.9
angle_YXZ_6_True,0.63,0.06782329983125267,0.7
angle_YXZ_8_False,0.9,0.0,0.9
angle_YXZ_8_True,0.5700000000000001,0.11874342087037919,0.8
angle_YXZ_10_False,0.9,0.0,0.9
angle_YXZ_10_True,0.635,0.11412712210513329,0.9
angle_YZ_2_False,0.7999999999999999,0.03872983346207416,0.85
angle_YZ_2_True,0.6249999999999999,0.10062305898749054,0.75
angle_YZ_4_False,0.885,0.02291287847477922,0.9
angle_YZ_4_True,0.64,0.062449979983983966,0.75
angle_YZ_6_False,0.8800000000000001,0.024494897427831803,0.9
angle_YZ_6_True,0.615,0.05499999999999999,0.7
angle_YZ_8_False,0.89,0.020000000000000018,0.9
angle_YZ_8_True,0.6300000000000001,0.08124038404635958,0.75
angle_YZ_10_False,0.885,0.02291287847477922,0.9
