,mean,std,max
angle_X_2_False,0.8800000000000001,0.0635959467611297,0.9333333333333333
angle_X_2_True,0.9200000000000002,0.04521553322083511,0.9666666666666667
angle_X_4_False,0.95,0.022360679774997894,1.0
angle_X_4_True,0.9833333333333334,0.016666666666666663,1.0
angle_X_6_False,0.9566666666666667,0.026034165586355507,1.0
angle_X_6_True,0.9700000000000001,0.02333333333333333,1.0
angle_X_8_False,0.95,0.016666666666666663,0.9666666666666667
angle_X_8_True,0.9666666666666666,0.02108185106778919,1.0
angle_X_10_False,0.9700000000000001,0.01795054935711501,1.0
angle_X_10_True,0.9533333333333334,0.016329931618554516,0.9666666666666667
angle_XY_2_False,0.8366666666666666,0.07218802609235905,0.9666666666666667
angle_XY_2_True,0.8433333333333334,0.08950481054731703,0.9666666666666667
angle_XY_4_False,0.9266666666666667,0.051207638319124046,0.9666666666666667
angle_XY_4_True,0.9533333333333334,0.026666666666666658,1.0
angle_XY_6_False,0.9266666666666667,0.044221663871405324,1.0
angle_XY_6_True,0.9533333333333334,0.03999999999999999,1.0
angle_XY_8_False,0.9333333333333333,0.033333333333333326,1.0
angle_XY_8_True,0.9066666666666666,0.029059326290271154,0.9666666666666667
angle_XY_10_False,0.9333333333333333,0.04472135954999579,1.0
angle_XY_10_True,0.9200000000000002,0.03711842908553347,0.9666666666666667
angle_XYZ_2_False,0.7366666666666667,0.05467073155618912,0.8
angle_XYZ_2_True,0.8466666666666669,0.05811865258054232,0.9333333333333333
angle_XYZ_4_False,0.79,0.03666666666666668,0.8333333333333334
angle_XYZ_4_True,0.9,0.04944132324730441,0.9666666666666667
angle_XYZ_6_False,0.8133333333333332,0.02666666666666666,0.8666666666666667
angle_XYZ_6_True,0.9466666666666667,0.04268749491621898,1.0
angle_XYZ_8_False,0.8299999999999998,0.02768874620972691,0.9
angle_XYZ_8_True,0.9533333333333334,0.02666666666666666,1.0
angle_XYZ_10_False,0.8033333333333333,0.023333333333333327,0.8333333333333334
angle_XYZ_10_True,0.9433333333333334,0.03666666666666666,1.0
angle_XZ_2_False,0.7833333333333333,0.10878112581387149,0.9333333333333333
angle_XZ_2_True,0.8733333333333333,0.08,1.0
angle_XZ_4_False,0.9466666666666667,0.02666666666666666,0.9666666666666667
angle_XZ_4_True,0.9633333333333333,0.02768874620972691,1.0
angle_XZ_6_False,0.9733333333333334,0.019999999999999997,1.0
angle_XZ_6_True,0.9333333333333333,0.04472135954999579,1.0
