,mean,std,max
amplitude_2,0.8637499999999999,0.011792476415070752,0.8875
amplitude_4,0.875,0.0,0.875
amplitude_6,0.875,0.0,0.875
amplitude_8,0.87625,0.0037499999999999873,0.8875
amplitude_10,0.87625,0.0037499999999999873,0.8875
angle_X_2_False,0.68625,0.030336652748778985,0.725
angle_X_2_True,0.7587499999999999,0.05535397456371133,0.8375
angle_X_4_False,0.8675,0.02031009601158989,0.9125
angle_X_4_True,0.8825,0.023848480035423645,0.9125
angle_X_6_False,0.89625,0.025031230493125986,0.925
angle_X_6_True,0.92125,0.02907425837403251,0.9625
angle_X_8_False,0.8949999999999999,0.02573907535246752,0.925
angle_X_8_True,0.9487500000000001,0.01624999999999999,0.975
angle_X_10_False,0.9,0.013693063937629165,0.925
angle_X_10_True,0.9650000000000001,0.010897247358851675,0.975
angle_XY_2_False,0.74,0.03905124837953326,0.7875
angle_XY_2_True,0.77125,0.05094420968078709,0.8625
angle_XY_4_False,0.8700000000000001,0.01274754878398196,0.9
angle_XY_4_True,0.8800000000000001,0.0322102468168128,0.9375
angle_XY_6_False,0.8787499999999999,0.008003905296791031,0.8875
angle_XY_6_True,0.9199999999999999,0.027500000000000007,0.975
angle_XY_8_False,0.8825,0.008291561975888494,0.9
angle_XY_8_True,0.9650000000000001,0.013462912017836266,0.9875
angle_XY_10_False,0.8774999999999998,0.007499999999999974,0.8875
angle_XY_10_True,0.97625,0.006731456008918143,0.9875
angle_XYZ_2_False,0.875,0.0,0.875
angle_XYZ_2_True,0.7862500000000001,0.03184434800714248,0.825
angle_XYZ_4_False,0.875,0.0,0.875
angle_XYZ_4_True,0.88375,0.02239559108396114,0.925
angle_XYZ_6_False,0.875,0.0,0.875
angle_XYZ_6_True,0.9375,0.02165063509461098,0.9625
angle_XYZ_8_False,0.875,0.0,0.875
angle_XYZ_8_True,0.96,0.01750000000000002,0.9875
angle_XYZ_10_False,0.875,0.0,0.875
angle_XYZ_10_True,0.9712500000000001,0.009762812094883326,0.9875
angle_XZ_2_False,0.8125,0.03622844186547361,0.875
angle_XZ_2_True,0.74,0.055,0.8
angle_XZ_4_False,0.8875,0.018540496217739157,0.925
angle_XZ_4_True,0.8637499999999999,0.05257435211203273,0.9375
angle_XZ_6_False,0.8799999999999999,0.006123724356957924,0.8875
angle_XZ_6_True,0.9262499999999999,0.030847406698132664,0.9625
angle_XZ_8_False,0.88125,0.011524430571616099,0.9125
angle_XZ_8_True,0.9550000000000001,0.018708286933869705,0.9875
angle_XZ_10_False,0.89625,0.017721808598447287,0.925
angle_XZ_10_True,0.98375,0.005728219618694831,0.9875
angle_XZY_2_False,0.7525000000000001,0.012247448713915868,0.775
angle_XZY_2_True,0.82125,0.041476650057592636,0.9125
angle_XZY_4_False,0.9,0.014790199457749053,0.925
angle_XZY_4_True,0.8724999999999999,0.03201562118716426,0.9375
angle_XZY_6_False,0.9024999999999999,0.028394541729001348,0.95
angle_XZY_6_True,0.9425000000000001,0.01870828693386971,0.9875
angle_XZY_8_False,0.915,0.018371173070873832,0.95
angle_XZY_8_True,0.9549999999999998,0.013919410907075052,0.975
angle_XZY_10_False,0.9225,0.015612494995996005,0.9375
angle_XZY_10_True,0.9712500000000002,0.01858258593414816,0.9875
angle_Y_2_False,0.6912499999999999,0.025031230493125993,0.7375
angle_Y_2_True,0.7849999999999999,0.05500000000000001,0.8625
angle_Y_4_False,0.8749999999999998,0.015811388300841892,0.9
angle_Y_4_True,0.8775000000000001,0.023584952830141507,0.9375
angle_Y_6_False,0.8925000000000001,0.018708286933869705,0.925
angle_Y_6_True,0.92875,0.02239559108396114,0.95
angle_Y_8_False,0.9087500000000001,0.012562344526401134,0.925
angle_Y_8_True,0.9587499999999999,0.014842927608797414,0.9875
angle_Y_10_False,0.9049999999999999,0.01500000000000001,0.9375
angle_Y_10_True,0.9675,0.015000000000000012,0.9875
angle_YX_2_False,0.7637499999999999,0.04855731149888757,0.825
angle_YX_2_True,0.745,0.03455068740271313,0.8125
angle_YX_4_False,0.8825,0.012747548783981958,0.9125
angle_YX_4_True,0.8712500000000001,0.022395591083961146,0.9
angle_YX_6_False,0.88125,0.008385254915624207,0.9
angle_YX_6_True,0.9200000000000002,0.018708286933869712,0.9375
angle_YX_8_False,0.8775000000000001,0.009354143466934847,0.9
angle_YX_8_True,0.96125,0.017184658856084417,0.9875
angle_YX_10_False,0.87625,0.0037499999999999873,0.8875
angle_YX_10_True,0.9787500000000001,0.008003905296791082,0.9875
angle_YXZ_2_False,0.8724999999999999,0.004999999999999982,0.875
angle_YXZ_2_True,0.79,0.03391164991562634,0.825
angle_YXZ_4_False,0.8875,0.014790199457749035,0.9125
angle_YXZ_4_True,0.8925000000000001,0.033634060117684286,0.9375
angle_YXZ_6_False,0.9,0.009682458365518537,0.9125
angle_YXZ_6_True,0.9387500000000001,0.01891593243802693,0.9625
angle_YXZ_8_False,0.9037499999999999,0.012562344526401108,0.9125
angle_YXZ_8_True,0.96,0.017500000000000022,0.9875
angle_YXZ_10_False,0.8962499999999999,0.011250000000000007,0.9125
angle_YXZ_10_True,0.9725000000000001,0.01089724735885169,0.9875
angle_YZ_2_False,0.8074999999999999,0.03758324094593227,0.875
angle_YZ_2_True,0.7424999999999999,0.05367727638395973,0.8125
angle_YZ_4_False,0.87625,0.00874999999999997,0.8875
angle_YZ_4_True,0.88125,0.03457329171484834,0.925
angle_YZ_6_False,0.8862500000000001,0.013050383136138188,0.9125
angle_YZ_6_True,0.945,0.0225,0.975
angle_YZ_8_False,0.88125,0.013975424859373692,0.9
angle_YZ_8_True,0.9637499999999999,0.01625000000000002,0.9875
angle_YZ_10_False,0.8962499999999999,0.012562344526401118,0.9125
angle_YZ_10_True,0.975,0.009682458365518551,0.9875
angle_YZX_2_False,0.6425000000000001,0.037996710383926664,0.6875
angle_YZX_2_True,0.745,0.05338539126015657,0.8625
angle_YZX_4_False,0.85,0.024366985862022402,0.8875
angle_YZX_4_True,0.8699999999999999,0.029685855217594804,0.9
angle_YZX_6_False,0.8612500000000001,0.01891593243802694,0.8875
angle_YZX_6_True,0.9225,0.02423839928708164,0.9625
angle_YZX_8_False,0.8675,0.014999999999999996,0.9
angle_YZX_8_True,0.9700000000000001,0.010000000000000004,0.9875
angle_YZX_10_False,0.8675,0.008291561975888493,0.875
angle_YZX_10_True,0.975,0.012500000000000022,0.9875
angle_Y_H_2_False,0.7,0.03622844186547358,0.7625
angle_Y_H_2_True,0.8474999999999999,0.02150581316760657,0.9
angle_Y_H_4_False,0.875,0.02680951323690902,0.9125
angle_Y_H_4_True,0.8912500000000001,0.026838638191979847,0.9375
angle_Y_H_6_False,0.8899999999999999,0.019202864369671516,0.9375
angle_Y_H_6_True,0.9225,0.02423839928708164,0.9625
angle_Y_H_8_False,0.8949999999999999,0.018708286933869722,0.925
angle_Y_H_8_True,0.9637499999999999,0.015258194519667142,0.9875
angle_Y_H_10_False,0.8949999999999999,0.016007810593582132,0.925
angle_Y_H_10_True,0.9737500000000001,0.011792476415070774,0.9875
angle_YX_H_2_False,0.7975000000000001,0.03436931771216881,0.8625
angle_YX_H_2_True,0.7525000000000001,0.047368238303741046,0.825
angle_YX_H_4_False,0.885,0.012247448713915886,0.9125
angle_YX_H_4_True,0.8699999999999999,0.02179449471770335,0.9
angle_YX_H_6_False,0.8887499999999999,0.010383279828647604,0.9
angle_YX_H_6_True,0.9299999999999999,0.021794494717703373,0.9625
angle_YX_H_8_False,0.8899999999999999,0.015612494995996007,0.925
