,mean,std,max
angle_X_2_False,0.8483333333333334,0.07029698902987713,0.9166666666666666
angle_X_2_True,0.8808333333333334,0.036713984619851134,0.9333333333333333
angle_X_4_False,0.9199999999999999,0.0214734978778752,0.9666666666666667
angle_X_4_True,0.9258333333333335,0.022189211592823898,0.9583333333333334
angle_X_6_False,0.9308333333333335,0.01626601774661925,0.95
angle_X_6_True,0.9541666666666666,0.011334558757279541,0.9666666666666667
angle_X_8_False,0.9341666666666667,0.01804700652308974,0.9583333333333334
angle_X_8_True,0.9574999999999999,0.012610621625351294,0.975
angle_X_10_False,0.9216666666666666,0.0253311402559511,0.9583333333333334
angle_X_10_True,0.9666666666666666,0.007453559924999297,0.975
angle_XY_2_False,0.8075000000000001,0.07559486314117735,0.9416666666666667
angle_XY_2_True,0.8433333333333334,0.0652771867585538,0.9416666666666667
angle_XY_4_False,0.885,0.030912061651652365,0.925
angle_XY_4_True,0.9350000000000002,0.01740051084818424,0.9583333333333334
angle_XY_6_False,0.8833333333333334,0.022669117514559096,0.925
angle_XY_6_True,0.945,0.014529663145135588,0.9666666666666667
angle_XY_8_False,0.8958333333333334,0.01133455875727952,0.9166666666666666
angle_XY_8_True,0.9508333333333333,0.013149778198382917,0.975
angle_XY_10_False,0.8958333333333334,0.02479079130107253,0.9416666666666667
angle_XY_10_True,0.9591666666666667,0.01511529762268087,0.975
angle_XYZ_2_False,0.7125,0.048626981536317206,0.8166666666666667
angle_XYZ_2_True,0.8591666666666666,0.0473535754839179,0.9333333333333333
angle_XYZ_4_False,0.7775,0.03652434500135188,0.85
angle_XYZ_4_True,0.8891666666666665,0.03690264970914089,0.9416666666666667
angle_XYZ_6_False,0.7925000000000001,0.032585357993361916,0.85
angle_XYZ_6_True,0.9399999999999998,0.021343747458109495,0.9583333333333334
angle_XYZ_8_False,0.8058333333333334,0.03028796974231039,0.8833333333333333
angle_XYZ_8_True,0.9550000000000001,0.01715938356831165,0.975
angle_XYZ_10_False,0.7916666666666667,0.020749832663314528,0.825
angle_XYZ_10_True,0.9716666666666667,0.0076376261582597055,0.9833333333333333
angle_XZ_2_False,0.7941666666666667,0.11855905701379375,0.95
angle_XZ_2_True,0.8616666666666667,0.056421036266035854,0.9333333333333333
angle_XZ_4_False,0.9225,0.024166666666666666,0.9583333333333334
angle_XZ_4_True,0.9349999999999999,0.028333333333333315,0.975
angle_XZ_6_False,0.9458333333333334,0.01003466214899357,0.9583333333333334
angle_XZ_6_True,0.9383333333333335,0.011902380714238062,0.95
angle_XZ_8_False,0.9491666666666665,0.010833333333333332,0.9583333333333334
angle_XZ_8_True,0.95,0.014433756729740663,0.9666666666666667
angle_XZ_10_False,0.9408333333333335,0.014648663192705776,0.9583333333333334
angle_XZ_10_True,0.9574999999999999,0.013149778198382917,0.975
angle_XZY_2_False,0.6891666666666667,0.0655161133700032,0.8083333333333333
angle_XZY_2_True,0.8191666666666666,0.038378596465564824,0.8583333333333333
angle_XZY_4_False,0.9241666666666667,0.03150176361905966,0.9583333333333334
angle_XZY_4_True,0.8916666666666668,0.026087459737497556,0.9333333333333333
angle_XZY_6_False,0.9366666666666668,0.01755942292142124,0.9666666666666667
angle_XZY_6_True,0.9091666666666667,0.028247418761130495,0.9583333333333334
angle_XZY_8_False,0.9508333333333333,0.010172129679778092,0.9666666666666667
angle_XZY_8_True,0.9183333333333333,0.019999999999999993,0.9416666666666667
angle_XZY_10_False,0.9491666666666667,0.010172129679778099,0.9666666666666667
angle_XZY_10_True,0.925,0.02527625148017183,0.9583333333333334
angle_Y_2_False,0.8683333333333334,0.045613107278013355,0.9166666666666666
angle_Y_2_True,0.8525,0.043148644886665394,0.9083333333333333
angle_Y_4_False,0.9266666666666667,0.02929732638541157,0.9583333333333334
angle_Y_4_True,0.9283333333333333,0.024776781245530836,0.9666666666666667
angle_Y_6_False,0.9291666666666668,0.027195281453467886,0.9583333333333334
angle_Y_6_True,0.9491666666666665,0.02155419526062926,0.975
angle_Y_8_False,0.9283333333333333,0.01715938356831165,0.95
angle_Y_8_True,0.9658333333333331,0.010833333333333311,0.9833333333333333
angle_Y_10_False,0.9266666666666667,0.019649710204252633,0.95
angle_Y_10_True,0.9691666666666666,0.008374896350934045,0.9833333333333333
angle_YX_2_False,0.7958333333333334,0.08860414462340035,0.9416666666666667
angle_YX_2_True,0.8516666666666668,0.03975620147292187,0.9166666666666666
angle_YX_4_False,0.8591666666666666,0.025124689052802244,0.8916666666666667
angle_YX_4_True,0.9275,0.03292457710856401,0.975
angle_YX_6_False,0.8924999999999998,0.01880085695446413,0.9166666666666666
angle_YX_6_True,0.9516666666666665,0.010408329997330677,0.9666666666666667
angle_YX_8_False,0.89,0.021666666666666688,0.925
angle_YX_8_True,0.9491666666666665,0.013667682889047265,0.975
angle_YX_10_False,0.8775000000000001,0.02142493355363743,0.9
angle_YX_10_True,0.9508333333333334,0.010833333333333342,0.9666666666666667
angle_YXZ_2_False,0.8641666666666667,0.04298740125509643,0.9083333333333333
angle_YXZ_2_True,0.8216666666666667,0.05044248650140519,0.9
angle_YXZ_4_False,0.9358333333333333,0.011211353372561428,0.9583333333333334
angle_YXZ_4_True,0.8883333333333334,0.02211083193570266,0.9083333333333333
angle_YXZ_6_False,0.9375,0.008539125638299635,0.95
angle_YXZ_6_True,0.9191666666666667,0.02416666666666668,0.9666666666666667
angle_YXZ_8_False,0.9466666666666665,0.005527707983925671,0.9583333333333334
angle_YXZ_8_True,0.9208333333333332,0.015478479684172248,0.95
angle_YXZ_10_False,0.945,0.0076376261582597445,0.9583333333333334
angle_YXZ_10_True,0.9324999999999999,0.020564937798755095,0.9583333333333334
angle_YZ_2_False,0.8308333333333333,0.09457874438206974,0.9416666666666667
angle_YZ_2_True,0.8766666666666667,0.05346338310781813,0.95
angle_YZ_4_False,0.9233333333333332,0.01892969448600089,0.95
angle_YZ_4_True,0.9283333333333335,0.014043582955293923,0.95
angle_YZ_6_False,0.9291666666666668,0.02212653007891957,0.9583333333333334
angle_YZ_6_True,0.945,0.013540064007726609,0.9583333333333334
angle_YZ_8_False,0.9400000000000001,0.018929694486000896,0.9583333333333334
angle_YZ_8_True,0.9533333333333331,0.008498365855987995,0.9666666666666667
angle_YZ_10_False,0.9466666666666665,0.009279607271383364,0.9583333333333334
angle_YZ_10_True,0.9625,0.009316949906249115,0.975
angle_YZX_2_False,0.7033333333333333,0.10476163419878483,0.85
angle_YZX_2_True,0.725,0.05257270098529168,0.8166666666666667
angle_YZX_4_False,0.7775,0.030968173626770068,0.825
angle_YZX_4_True,0.9200000000000002,0.03188521078284834,0.9583333333333334
angle_YZX_6_False,0.7958333333333334,0.02181042054717066,0.825
angle_YZX_6_True,0.9408333333333332,0.023109041039770083,0.9666666666666667
angle_YZX_8_False,0.8041666666666668,0.032328607902118014,0.85
angle_YZX_8_True,0.9574999999999999,0.015567951410224493,0.975
angle_YZX_10_False,0.7975000000000001,0.027901115071305344,0.825
angle_YZX_10_True,0.96,0.008164965809277272,0.975
angle_Y_H_2_False,0.82,0.10802520282065868,0.9416666666666667
angle_Y_H_2_True,0.8191666666666666,0.05271121533622823,0.8833333333333333
angle_Y_H_4_False,0.9283333333333333,0.020480342879074156,0.95
angle_Y_H_4_True,0.9450000000000001,0.01755942292142123,0.9666666666666667
angle_Y_H_6_False,0.9233333333333335,0.02808716591058786,0.9583333333333334
angle_Y_H_6_True,0.9566666666666667,0.013333333333333332,0.975
angle_Y_H_8_False,0.9299999999999999,0.02048034287907419,0.9583333333333334
angle_Y_H_8_True,0.9616666666666666,0.009279607271383378,0.975
angle_Y_H_10_False,0.9358333333333333,0.013969212178533488,0.95
angle_Y_H_10_True,0.96,0.00816496580927726,0.975
angle_YX_H_2_False,0.8016666666666667,0.12592987466575725,0.9333333333333333
angle_YX_H_2_True,0.8358333333333334,0.038738797663898206,0.875
angle_YX_H_4_False,0.9275,0.030968173626770092,0.9583333333333334
angle_YX_H_4_True,0.9200000000000002,0.020480342879074156,0.95
angle_YX_H_6_False,0.9425000000000001,0.01556795141022451,0.9583333333333334
angle_YX_H_6_True,0.9466666666666665,0.01452966314513558,0.975
angle_YX_H_8_False,0.9324999999999999,0.01842778698957998,0.9583333333333334
angle_YX_H_8_True,0.9583333333333334,0.017873008824606018,0.975
angle_YX_H_10_False,0.9466666666666665,0.010000000000000004,0.9583333333333334
angle_YX_H_10_True,0.96,0.016158932858054413,0.9833333333333333
angle_YXZ_H_2_False,0.7224999999999999,0.07139969654463992,0.875
angle_YXZ_H_2_True,0.8016666666666667,0.06311365409587161,0.9083333333333333
angle_YXZ_H_4_False,0.9099999999999999,0.0591373166640339,0.9583333333333334
angle_YXZ_H_4_True,0.89,0.02166666666666667,0.925
angle_YXZ_H_6_False,0.9425000000000001,0.014166666666666659,0.9666666666666667
angle_YXZ_H_6_True,0.8991666666666667,0.0205649377987551,0.9416666666666667
angle_YXZ_H_8_False,0.9391666666666666,0.009166666666666634,0.95
angle_YXZ_H_8_True,0.9208333333333334,0.023048861143232204,0.95
angle_YXZ_H_10_False,0.9483333333333333,0.01166666666666667,0.9666666666666667
angle_YXZ_H_10_True,0.9425000000000001,0.020564937798755113,0.9666666666666667
angle_YZ_H_2_False,0.8,0.08139410298049854,0.925
angle_YZ_H_2_True,0.8483333333333333,0.06311365409587164,0.925
angle_YZ_H_4_False,0.8533333333333333,0.025873624493766696,0.9
angle_YZ_H_4_True,0.9391666666666667,0.014457792977414547,0.9666666666666667
angle_YZ_H_6_False,0.8883333333333333,0.02666666666666668,0.9333333333333333
angle_YZ_H_6_True,0.9491666666666667,0.01643590243609667,0.975
angle_YZ_H_8_False,0.8833333333333332,0.02527625148017184,0.9166666666666666
angle_YZ_H_8_True,0.9666666666666668,0.010540925533894577,0.9833333333333333
angle_YZ_H_10_False,0.8941666666666668,0.025013885033006073,0.925
angle_YZ_H_10_True,0.9650000000000001,0.012801909579781003,0.9833333333333333
angle_YZX_H_2_False,0.7141666666666666,0.036333715594319395,0.8083333333333333
angle_YZX_H_2_True,0.8083333333333333,0.08257992761224997,0.9166666666666666
angle_YZX_H_4_False,0.7841666666666666,0.05183440513361328,0.8833333333333333
angle_YZX_H_4_True,0.9066666666666666,0.04096068575814837,0.975
angle_YZX_H_6_False,0.7725,0.02959213484094117,0.8416666666666667
angle_YZX_H_6_True,0.9458333333333334,0.011931517552730295,0.9666666666666667
angle_YZX_H_8_False,0.8066666666666666,0.03068658773253661,0.875
angle_YZX_H_8_True,0.9508333333333334,0.015115297622680894,0.9666666666666667
angle_YZX_H_10_False,0.8066666666666666,0.027838821814150084,0.8583333333333333
angle_YZX_H_10_True,0.9558333333333333,0.010573814617041278,0.975
angle_Z_H_2_False,0.8383333333333333,0.08475454756727412,0.9166666666666666
angle_Z_H_2_True,0.8466666666666667,0.07474029108259556,0.9416666666666667
angle_Z_H_4_False,0.9308333333333334,0.025563102750296614,0.9583333333333334
angle_Z_H_4_True,0.9374999999999998,0.023935677693908433,0.9583333333333334
angle_Z_H_6_False,0.9166666666666667,0.027638539919628318,0.9583333333333334
angle_Z_H_6_True,0.9566666666666667,0.012247448713915894,0.975
angle_Z_H_8_False,0.9233333333333335,0.022298480267099408,0.95
angle_Z_H_8_True,0.9608333333333334,0.00916666666666667,0.975
angle_Z_H_10_False,0.9133333333333333,0.02333333333333333,0.95
angle_Z_H_10_True,0.9674999999999999,0.012047360245667478,0.9916666666666667
angle_ZX_H_2_False,0.8150000000000001,0.09809292646374776,0.925
angle_ZX_H_2_True,0.8666666666666666,0.05109903238918631,0.9333333333333333
angle_ZX_H_4_False,0.93,0.02333333333333331,0.9666666666666667
angle_ZX_H_4_True,0.9366666666666668,0.023333333333333324,0.9666666666666667
angle_ZX_H_6_False,0.9416666666666668,0.011180339887498926,0.9583333333333334
angle_ZX_H_6_True,0.9491666666666667,0.024565671621639456,0.9916666666666667
angle_ZX_H_8_False,0.9491666666666667,0.0126106216253513,0.9583333333333334
angle_ZX_H_8_True,0.9583333333333333,0.015365907428821473,0.9833333333333333
angle_ZX_H_10_False,0.9474999999999998,0.011814539065631537,0.9583333333333334
angle_ZX_H_10_True,0.9558333333333333,0.012388390622765427,0.975
angle_ZXY_H_2_False,0.7566666666666666,0.07690181330039553,0.8416666666666667
angle_ZXY_H_2_True,0.7675,0.05645179851479982,0.85
angle_ZXY_H_4_False,0.7733333333333332,0.03411581581743121,0.8416666666666667
angle_ZXY_H_4_True,0.9116666666666667,0.030322342331100437,0.9583333333333334
angle_ZXY_H_6_False,0.7916666666666666,0.025549516194593145,0.85
angle_ZXY_H_6_True,0.95,0.009128709291752777,0.9583333333333334
angle_ZXY_H_8_False,0.7925,0.04123947677219539,0.8583333333333333
angle_ZXY_H_8_True,0.95,0.015365907428821471,0.975
angle_ZXY_H_10_False,0.7883333333333333,0.0298607881119482,0.8416666666666667
angle_ZXY_H_10_True,0.9574999999999999,0.012047360245667469,0.975
angle_ZY_H_2_False,0.835,0.0769018133003955,0.95
angle_ZY_H_2_True,0.8666666666666666,0.058094750193111264,0.9333333333333333
angle_ZY_H_4_False,0.8633333333333333,0.04136557881996954,0.9083333333333333
angle_ZY_H_4_True,0.9341666666666667,0.020224435165852643,0.975
angle_ZY_H_6_False,0.8883333333333333,0.01833333333333333,0.9166666666666666
angle_ZY_H_6_True,0.95,0.013944333775567922,0.975
angle_ZY_H_8_False,0.8883333333333334,0.01833333333333335,0.9083333333333333
angle_ZY_H_8_True,0.9574999999999999,0.011456439237389605,0.975
angle_ZY_H_10_False,0.8850000000000001,0.020344259359556176,0.9166666666666666
angle_ZY_H_10_True,0.9566666666666667,0.012801909579781006,0.9833333333333333
angle_ZYX_H_2_False,0.8724999999999999,0.05615578529610483,0.9166666666666666
angle_ZYX_H_2_True,0.8558333333333333,0.03727711541057507,0.9
angle_ZYX_H_4_False,0.9233333333333335,0.026562295750848716,0.9583333333333334
angle_ZYX_H_4_True,0.8966666666666665,0.029154759474226508,0.95
angle_ZYX_H_6_False,0.9399999999999998,0.012247448713915886,0.9583333333333334
angle_ZYX_H_6_True,0.8916666666666666,0.01707825127659934,0.925
angle_ZYX_H_8_False,0.9425000000000001,0.010833333333333318,0.9666666666666667
angle_ZYX_H_8_True,0.9200000000000002,0.022422706745122836,0.9666666666666667
angle_ZYX_H_10_False,0.9491666666666665,0.012047360245667464,0.975
angle_ZYX_H_10_True,0.9433333333333331,0.01818118685772619,0.975
amplitude_2,0.6791666666666668,0.015920810978785685,0.7083333333333334
amplitude_4,0.7216666666666667,0.04475240527365851,0.8166666666666667
amplitude_6,0.7683333333333333,0.05710613899670605,0.8333333333333334
amplitude_8,0.7283333333333334,0.04333333333333334,0.8333333333333334
amplitude_10,0.7325,0.03300883720056394,0.8083333333333333
